abilities	against_bug	against_dark	against_dragon	against_electric	against_fairy	against_fight	against_fire	against_flying	against_ghost	against_grass	against_ground	against_ice	against_normal	against_poison	against_psychic	against_rock	against_steel	against_water	attack	base_egg_steps	base_happiness	base_total	capture_rate	classfication	defense	experience_growth	height_m	hp	japanese_name	name	percentage_male	pokedex_number	sp_attack	sp_defense	speed	type1	type2	weight_kg	generation	is_legendary
['Keen Eye', 'Tangled Feet', 'Big Pecks']	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	60	3840	70	349	120	Bird PokÃ©mon	55	1059860	1.1	63	Pigeonãƒ”ã‚¸ãƒ§ãƒ³	Pidgeotto	50	17	50	50	71	normal	flying	30	1	0
['Keen Eye', 'Tangled Feet', 'Big Pecks']	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	80	3840	70	579	45	Bird PokÃ©mon	80	1059860	1.5	83	Pigeotãƒ”ã‚¸ãƒ§ãƒƒãƒˆ	Pidgeot	50	18	135	80	121	normal	flying	39.5	1	0
['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	56	3840	70	253	255	Mouse PokÃ©mon	35	1000000		30	Korattaã‚³ãƒ©ãƒƒã‚¿	Rattata	50	19	25	35	72	normal	dark		1	0
['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	71	3840	70	413	127	Mouse PokÃ©mon	70	1000000		75	Rattaãƒ©ãƒƒã‚¿	Raticate	50	20	40	80	77	normal	dark		1	0
['Keen Eye', 'Sniper']	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	60	3840	70	262	255	Tiny Bird PokÃ©mon	30	1000000	0.3	40	Onisuzumeã‚ªãƒ‹ã‚¹ã‚ºãƒ¡	Spearow	50	21	31	31	70	normal	flying	2	1	0
['Keen Eye', 'Sniper']	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	90	3840	70	442	90	Beak PokÃ©mon	65	1000000	1.2	65	Onidrillã‚ªãƒ‹ãƒ‰ãƒªãƒ«	Fearow	50	22	61	61	100	normal	flying	38	1	0
['Intimidate', 'Shed Skin', 'Unnerve']	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	60	5120	70	288	255	Snake PokÃ©mon	44	1000000	2	35	Arboã‚¢ãƒ¼ãƒœ	Ekans	50	23	40	54	55	poison		6.9	1	0
['Intimidate', 'Shed Skin', 'Unnerve']	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	95	5120	70	448	90	Cobra PokÃ©mon	69	1000000	3.5	60	Arbokã‚¢ãƒ¼ãƒœãƒƒã‚¯	Arbok	50	24	65	79	80	poison		65	1	0
['Static', 'Lightningrod']	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	55	2560	70	320	190	Mouse PokÃ©mon	40	1000000	0.4	35	Pikachuãƒ”ã‚«ãƒãƒ¥ã‚¦	Pikachu	50	25	50	50	90	electric		6	1	0
['Static', 'Lightningrod', 'Surge Surfer']	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	85	2560	70	485	75	Mouse PokÃ©mon	50	1000000		60	Raichuãƒ©ã‚¤ãƒãƒ¥ã‚¦	Raichu	50	26	95	85	110	electric	electric		1	0
['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	75	5120	70	300	255	Mouse PokÃ©mon	90	1000000		50	Sandã‚µãƒ³ãƒ‰	Sandshrew	50	27	10	35	40	ground	ice		1	0
['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	100	5120	70	450	90	Mouse PokÃ©mon	120	1000000		75	Sandpanã‚µãƒ³ãƒ‰ãƒ‘ãƒ³	Sandslash	50	28	25	65	65	ground	ice		1	0
['Poison Point', 'Rivalry', 'Hustle']	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	47	5120	70	275	235	Poison Pin PokÃ©mon	52	1059860	0.4	55	Nidoran?ãƒ‹ãƒ‰ãƒ©ãƒ³â™€	Nidoranâ™€	0	29	40	40	41	poison		7	1	0
['Poison Point', 'Rivalry', 'Hustle']	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	62	5120	70	365	120	Poison Pin PokÃ©mon	67	1059860	0.8	70	Nidorinaãƒ‹ãƒ‰ãƒªãƒ¼ãƒŠ	Nidorina	0	30	55	55	56	poison		20	1	0
['Poison Point', 'Rivalry', 'Sheer Force']	0.5	1	1	0	0.5	0.5	1	1	1	1	2	2	1	0.25	2	0.5	1	2	92	5120	70	505	45	Drill PokÃ©mon	87	1059860	1.3	90	Nidoqueenãƒ‹ãƒ‰ã‚¯ã‚¤ãƒ³	Nidoqueen	0	31	75	85	76	poison	ground	60	1	0
['Poison Point', 'Rivalry', 'Hustle']	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	57	5120	70	273	235	Poison Pin PokÃ©mon	40	1059860	0.5	46	Nidoran?ãƒ‹ãƒ‰ãƒ©ãƒ³â™‚	Nidoranâ™‚	100	32	40	40	50	poison		9	1	0
['Poison Point', 'Rivalry', 'Hustle']	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	72	5120	70	365	120	Poison Pin PokÃ©mon	57	1059860	0.9	61	Nidorinoãƒ‹ãƒ‰ãƒªãƒ¼ãƒŽ	Nidorino	100	33	55	55	65	poison		19.5	1	0
['Poison Point', 'Rivalry', 'Sheer Force']	0.5	1	1	0	0.5	0.5	1	1	1	1	2	2	1	0.25	2	0.5	1	2	102	5120	70	505	45	Drill PokÃ©mon	77	1059860	1.4	81	Nidokingãƒ‹ãƒ‰ã‚­ãƒ³ã‚°	Nidoking	100	34	85	75	85	poison	ground	62	1	0
['Cute Charm', 'Magic Guard', 'Friend Guard']	0.5	0.5	0	1	1	0.5	1	1	1	1	1	1	1	2	1	1	2	1	45	2560	140	323	150	Fairy PokÃ©mon	48	800000	0.6	70	Pippiãƒ”ãƒƒãƒ”	Clefairy	24.6	35	60	65	35	fairy		7.5	1	0
['Cute Charm', 'Magic Guard', 'Unaware']	0.5	0.5	0	1	1	0.5	1	1	1	1	1	1	1	2	1	1	2	1	70	2560	140	483	25	Fairy PokÃ©mon	73	800000	1.3	95	Pixyãƒ”ã‚¯ã‚·ãƒ¼	Clefable	24.6	36	95	90	60	fairy		40	1	0
['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	41	5120	70	299	190	Fox PokÃ©mon	40	1000000		38	Rokonãƒ­ã‚³ãƒ³	Vulpix	24.6	37	50	65	65	fire	ice		1	0
['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	67	5120	70	505	75	Fox PokÃ©mon	75	1000000		73	Kyukonã‚­ãƒ¥ã‚¦ã‚³ãƒ³	Ninetales	24.6	38	81	100	109	fire	ice		1	0
['Cute Charm', 'Competitive', 'Friend Guard']	0.5	0.5	0	1	1	1	1	1	0	1	1	1	1	2	1	1	2	1	45	2560	70	270	170	Balloon PokÃ©mon	20	800000	0.5	115	Purinãƒ—ãƒªãƒ³	Jigglypuff	24.6	39	45	25	20	normal	fairy	5.5	1	0
['Cute Charm', 'Competitive', 'Frisk']	0.5	0.5	0	1	1	1	1	1	0	1	1	1	1	2	1	1	2	1	70	2560	70	435	50	Balloon PokÃ©mon	45	800000	1	140	Pukurinãƒ—ã‚¯ãƒªãƒ³	Wigglytuff	24.6	40	85	50	45	normal	fairy	12	1	0
['Inner Focus', 'Infiltrator']	0.25	1	1	2	0.5	0.25	1	1	1	0.25	0	2	1	0.5	2	2	1	1	45	3840	70	245	255	Bat PokÃ©mon	35	1000000	0.8	40	Zubatã‚ºãƒãƒƒãƒˆ	Zubat	50	41	30	40	55	poison	flying	7.5	1	0
['Inner Focus', 'Infiltrator']	0.25	1	1	2	0.5	0.25	1	1	1	0.25	0	2	1	0.5	2	2	1	1	80	3840	70	455	90	Bat PokÃ©mon	70	1000000	1.6	75	Golbatã‚´ãƒ«ãƒãƒƒãƒˆ	Golbat	50	42	65	75	90	poison	flying	55	1	0
['Chlorophyll', 'Run Away']	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	50	5120	70	320	255	Weed PokÃ©mon	55	1059860	0.5	45	NazonokusaãƒŠã‚¾ãƒŽã‚¯ã‚µ	Oddish	50	43	75	65	30	grass	poison	5.4	1	0
['Chlorophyll', 'Stench']	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	65	5120	70	395	120	Weed PokÃ©mon	70	1059860	0.8	60	Kusaihanaã‚¯ã‚µã‚¤ãƒãƒŠ	Gloom	50	44	85	75	40	grass	poison	8.6	1	0
['Chlorophyll', 'Effect Spore']	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	80	5120	70	490	45	Flower PokÃ©mon	85	1059860	1.2	75	Ruffresiaãƒ©ãƒ•ãƒ¬ã‚·ã‚¢	Vileplume	50	45	110	90	50	grass	poison	18.6	1	0
['Effect Spore', 'Dry Skin', 'Damp']	2	1	1	0.5	1	0.5	4	4	1	0.25	0.25	2	1	2	1	2	1	0.5	70	5120	70	285	190	Mushroom PokÃ©mon	55	1000000	0.3	35	Parasãƒ‘ãƒ©ã‚¹	Paras	50	46	45	55	25	bug	grass	5.4	1	0
['Effect Spore', 'Dry Skin', 'Damp']	2	1	1	0.5	1	0.5	4	4	1	0.25	0.25	2	1	2	1	2	1	0.5	95	5120	70	405	75	Mushroom PokÃ©mon	80	1000000	1	60	Parasectãƒ‘ãƒ©ã‚»ã‚¯ãƒˆ	Parasect	50	47	60	80	30	bug	grass	29.5	1	0
['Compoundeyes', 'Tinted Lens', 'Run Away']	0.5	1	1	1	0.5	0.25	2	2	1	0.25	1	1	1	0.5	2	2	1	1	55	5120	70	305	190	Insect PokÃ©mon	50	1000000	1	60	Kongpangã‚³ãƒ³ãƒ‘ãƒ³	Venonat	50	48	40	55	45	bug	poison	30	1	0
['Shield Dust', 'Tinted Lens', 'Wonder Skin ']	0.5	1	1	1	0.5	0.25	2	2	1	0.25	1	1	1	0.5	2	2	1	1	65	5120	70	450	75	Poison Moth PokÃ©mon	60	1000000	1.5	70	Morphonãƒ¢ãƒ«ãƒ•ã‚©ãƒ³	Venomoth	50	49	90	75	90	bug	poison	12.5	1	0
['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	55	5120	70	265	255	Mole PokÃ©mon	30	1000000		10	Digdaãƒ‡ã‚£ã‚°ãƒ€	Diglett	50	50	35	45	90	ground	ground		1	0
['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	100	5120	70	425	50	Mole PokÃ©mon	60	1000000		35	Dugtrioãƒ€ã‚°ãƒˆãƒªã‚ª	Dugtrio	50	51	50	70	110	ground	ground		1	0
['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	35	5120	70	290	255	Scratch Cat PokÃ©mon	35	1000000		40	Nyarthãƒ‹ãƒ£ãƒ¼ã‚¹	Meowth	50	52	50	40	90	normal	dark		1	0
['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	60	5120	70	440	90	Classy Cat PokÃ©mon	60	1000000		65	Persianãƒšãƒ«ã‚·ã‚¢ãƒ³	Persian	50	53	75	65	115	normal	dark		1	0
['Damp', 'Cloud Nine', 'Swift Swim']	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	52	5120	70	320	190	Duck PokÃ©mon	48	1000000	0.8	50	Koduckã‚³ãƒ€ãƒƒã‚¯	Psyduck	50	54	65	50	55	water		19.6	1	0
['Damp', 'Cloud Nine', 'Swift Swim']	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	82	5120	70	500	75	Duck PokÃ©mon	78	1000000	1.7	80	Golduckã‚´ãƒ«ãƒ€ãƒƒã‚¯	Golduck	50	55	95	80	85	water		76.6	1	0
['Vital Spirit', 'Anger Point', 'Defiant']	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	80	5120	70	305	190	Pig Monkey PokÃ©mon	35	1000000	0.5	40	Mankeyãƒžãƒ³ã‚­ãƒ¼	Mankey	50	56	35	45	70	fighting		28	1	0
['Vital Spirit', 'Anger Point', 'Defiant']	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	105	5120	70	455	75	Pig Monkey PokÃ©mon	60	1000000	1	65	Okorizaruã‚ªã‚³ãƒªã‚¶ãƒ«	Primeape	50	57	60	70	95	fighting		32	1	0
['Intimidate', 'Flash Fire', 'Justified']	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	70	5120	70	350	190	Puppy PokÃ©mon	45	1250000	0.7	55	Gardieã‚¬ãƒ¼ãƒ‡ã‚£	Growlithe	75.4	58	70	50	60	fire		19	1	0
['Intimidate', 'Flash Fire', 'Justified']	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	110	5120	70	555	75	Legendary PokÃ©mon	80	1250000	1.9	90	Windieã‚¦ã‚¤ãƒ³ãƒ‡ã‚£	Arcanine	75.4	59	100	80	95	fire		155	1	0
['Water Absorb', 'Damp', 'Swift Swim']	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	50	5120	70	300	255	Tadpole PokÃ©mon	40	1059860	0.6	40	Nyoromoãƒ‹ãƒ§ãƒ­ãƒ¢	Poliwag	50	60	40	40	90	water		12.4	1	0
['Water Absorb', 'Damp', 'Swift Swim']	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	65	5120	70	385	120	Tadpole PokÃ©mon	65	1059860	1	65	Nyorozoãƒ‹ãƒ§ãƒ­ã‚¾	Poliwhirl	50	61	50	50	90	water		20	1	0
['Water Absorb', 'Damp', 'Swift Swim']	0.5	0.5	1	2	2	1	0.5	2	1	2	1	0.5	1	1	2	0.5	0.5	0.5	95	5120	70	510	45	Tadpole PokÃ©mon	95	1059860	1.3	90	Nyorobonãƒ‹ãƒ§ãƒ­ãƒœãƒ³	Poliwrath	50	62	70	90	70	water	fighting	54	1	0
['Synchronize', 'Inner Focus', 'Magic Guard']	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	20	5120	70	310	200	Psi PokÃ©mon	15	1059860	0.9	25	Caseyã‚±ãƒ¼ã‚·ã‚£	Abra	75.4	63	105	55	90	psychic		19.5	1	0
['Synchronize', 'Inner Focus', 'Magic Guard']	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	35	5120	70	400	100	Psi PokÃ©mon	30	1059860	1.3	40	Yungererãƒ¦ãƒ³ã‚²ãƒ©ãƒ¼	Kadabra	75.4	64	120	70	105	psychic		56.5	1	0
['Synchronize', 'Inner Focus', 'Magic Guard']	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	50	5120	70	600	50	Psi PokÃ©mon	65	1059860	1.5	55	Foodinãƒ•ãƒ¼ãƒ‡ã‚£ãƒ³	Alakazam	75.4	65	175	105	150	psychic		48	1	0
['Guts', 'No Guard', 'Steadfast']	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	80	5120	70	305	180	Superpower PokÃ©mon	50	1059860	0.8	70	Wanrikyãƒ¯ãƒ³ãƒªã‚­ãƒ¼	Machop	75.4	66	35	35	35	fighting		19.5	1	0
['Guts', 'No Guard', 'Steadfast']	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	100	5120	70	405	90	Superpower PokÃ©mon	70	1059860	1.5	80	Gorikyã‚´ãƒ¼ãƒªã‚­ãƒ¼	Machoke	75.4	67	50	60	45	fighting		70.5	1	0
['Guts', 'No Guard', 'Steadfast']	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	130	5120	70	505	45	Superpower PokÃ©mon	80	1059860	1.6	90	Kairikyã‚«ã‚¤ãƒªã‚­ãƒ¼	Machamp	75.4	68	65	85	55	fighting		130	1	0
['Chlorophyll', 'Gluttony']	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	75	5120	70	300	255	Flower PokÃ©mon	35	1059860	0.7	50	Madatsubomiãƒžãƒ€ãƒ„ãƒœãƒŸ	Bellsprout	50	69	70	30	40	grass	poison	4	1	0
['Chlorophyll', 'Gluttony']	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	90	5120	70	390	120	Flycatcher PokÃ©mon	50	1059860	1	65	Utsudonã‚¦ãƒ„ãƒ‰ãƒ³	Weepinbell	50	70	85	45	55	grass	poison	6.4	1	0
['Chlorophyll', 'Gluttony']	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	105	5120	70	490	45	Flycatcher PokÃ©mon	65	1059860	1.7	80	Utsubotã‚¦ãƒ„ãƒœãƒƒãƒˆ	Victreebel	50	71	100	70	70	grass	poison	15.5	1	0
['Clear Body', 'Liquid Ooze', 'Rain Dish']	0.5	1	1	2	0.5	0.5	0.5	1	1	1	2	0.5	1	0.5	2	1	0.5	0.5	40	5120	70	335	190	Jellyfish PokÃ©mon	35	1250000	0.9	40	Menokurageãƒ¡ãƒŽã‚¯ãƒ©ã‚²	Tentacool	50	72	50	100	70	water	poison	45.5	1	0
['Clear Body', 'Liquid Ooze', 'Rain Dish']	0.5	1	1	2	0.5	0.5	0.5	1	1	1	2	0.5	1	0.5	2	1	0.5	0.5	70	5120	70	515	60	Jellyfish PokÃ©mon	65	1250000	1.6	80	Dokukurageãƒ‰ã‚¯ã‚¯ãƒ©ã‚²	Tentacruel	50	73	80	120	100	water	poison	55	1	0
['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']	1	1	1	0	1	2	0.5	0.5	1	4	2	2	0.5	0.25	1	0.5	2	4	80	3840	70	300	255	Rock PokÃ©mon	100	1059860		40	Isitsubuteã‚¤ã‚·ãƒ„ãƒ–ãƒ†	Geodude	50	74	30	30	20	rock	ground		1	0
['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']	1	1	1	0	1	2	0.5	0.5	1	4	2	2	0.5	0.25	1	0.5	2	4	95	3840	70	390	120	Rock PokÃ©mon	115	1059860		55	Goloneã‚´ãƒ­ãƒ¼ãƒ³	Graveler	50	75	45	45	35	rock	ground		1	0
['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']	1	1	1	0	1	2	0.5	0.5	1	4	2	2	0.5	0.25	1	0.5	2	4	120	3840	70	495	45	Megaton PokÃ©mon	130	1059860		80	Golonyaã‚´ãƒ­ãƒ¼ãƒ‹ãƒ£	Golem	50	76	55	65	45	rock	ground		1	0
['Run Away', 'Flash Fire', 'Flame Body']	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	85	5120	70	410	190	Fire Horse PokÃ©mon	55	1000000	1	50	Ponytaãƒãƒ‹ãƒ¼ã‚¿	Ponyta	50	77	65	65	90	fire		30	1	0
['Run Away', 'Flash Fire', 'Flame Body']	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	100	5120	70	500	60	Fire Horse PokÃ©mon	70	1000000	1.7	65	Gallopã‚®ãƒ£ãƒ­ãƒƒãƒ—	Rapidash	50	78	80	80	105	fire		95	1	0
['Oblivious', 'Own Tempo', 'Regenerator']	2	2	1	2	1	0.5	0.5	1	2	2	1	0.5	1	1	0.5	1	0.5	0.5	65	5120	70	315	190	Dopey PokÃ©mon	65	1000000	1.2	90	Yadonãƒ¤ãƒ‰ãƒ³	Slowpoke	50	79	40	40	15	water	psychic	36	1	0
['Oblivious', 'Own Tempo', 'Regenerator']	2	2	1	2	1	0.5	0.5	1	2	2	1	0.5	1	1	0.5	1	0.5	0.5	75	5120	70	590	75	Hermit Crab PokÃ©mon	180	1000000	1.6	95	Yadoranãƒ¤ãƒ‰ãƒ©ãƒ³	Slowbro	50	80	130	80	30	water	psychic	78.5	1	0
['Magnet Pull', 'Sturdy', 'Analytic']	0.5	1	0.5	0.5	0.5	2	2	0.25	1	0.5	4	0.5	0.5	0	0.5	0.5	0.25	1	35	5120	70	325	190	Magnet PokÃ©mon	70	1000000	0.3	25	Coilã‚³ã‚¤ãƒ«	Magnemite		81	95	55	45	electric	steel	6	1	0
['Magnet Pull', 'Sturdy', 'Analytic']	0.5	1	0.5	0.5	0.5	2	2	0.25	1	0.5	4	0.5	0.5	0	0.5	0.5	0.25	1	60	5120	70	465	60	Magnet PokÃ©mon	95	1000000	1	50	Rarecoilãƒ¬ã‚¢ã‚³ã‚¤ãƒ«	Magneton		82	120	70	70	electric	steel	60	1	0
['Keen Eye', 'Inner Focus', 'Defiant']	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	90	5120	70	377	45	Wild Duck PokÃ©mon	55	1000000	0.8	52	Kamonegiã‚«ãƒ¢ãƒã‚®	Farfetch'd	50	83	58	62	60	normal	flying	15	1	0
